sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated	Sample
INDIV365_SENGELI_2156_Dry2014	B. ailuri	4988	0.5322857996	Raw	FP	INDIV365
INDIV62_SENGELI_2152_Dry2014	B. ailuri	31432	0.508373306	Raw	FP	INDIV62
INDIV319_GIDAMILANDA_1948_Dry2014	B. ailuri	5888	0.5278967387	Raw	FP	INDIV319
INDIV320_GIDAMILANDA_1949_Dry2014	B. ailuri	5229	0.5383487897	Raw	FP	INDIV320
INDIV363_SENGELI_2154_Dry2014	B. ailuri	7364	0.4665475377	Raw	FP	INDIV363
INDIV364_SENGELI_2155_Dry2014	B. ailuri	8835	0.5208945167	Raw	FP	INDIV364
INDIV313_GIDAMILANDA_1942_Dry2014	B. ailuri	16414	0.5147598864	Raw	FP	INDIV313
INDIV209_SAITOTI_1708_Dry2014	B. ailuri	9479	0.4728833013	Raw	FP	INDIV209
INDIV256_MSAFIRI_1834_Dry2014	B. ailuri	1053	0.3535416686	Raw	FP	INDIV256
INDIV257_MSAFIRI_1831_Dry2014	B. ailuri	14640	0.4497483385	Raw	FP	INDIV257
INDIV258_MSAFIRI_1832_Dry2014	B. ailuri	8094	0.4955713224	Raw	FP	INDIV258
INDIV255_MSAFIRI_1833_Dry2014	B. ailuri	2213	0.3872304097	Raw	FP	INDIV255
INDIV33_GIDAMILANDA_1951_Dry2014	B. ailuri	9901	0.3797332052	Raw	FP	INDIV33
INDIV95_HUKAMAKO_2185_Dry2014	B. ailuri	10397	0.4934428642	Raw	FP	INDIV95
INDIV268_HUKAMAKO_2189_Dry2014	B. ailuri	6564	0.4618342429	Raw	FP	INDIV268
INDIV371_HUKAMAKO_2193_Dry2014	B. ailuri	6898	0.4964682931	Raw	FP	INDIV371
INDIV270_HUKAMAKO_2201_Dry2014	B. ailuri	4685	0.5437774888	Raw	FP	INDIV270
INDIV306_SENGELI_2182_Dry2014	B. ailuri	14866	0.4615387059	Raw	FP	INDIV306
INDIV220_SAITOTI_1719_Dry2014	B. ailuri	14456	0.4286135462	Raw	FP	INDIV220
INDIV273_SAIDI_1851_Dry2014	B. ailuri	6384	0.5105122659	Raw	FP	INDIV273
INDIV226_SAITOTI_1725_Dry2014	B. ailuri	4591	0.5176363063	Raw	FP	INDIV226
INDIV277_SAIDI_1852_Dry2014	B. ailuri	10227	0.4927262734	Raw	FP	INDIV277
INDIV227_ENDAMANGA_SCHOOL_1726_Dry2014	B. ailuri	13778	0.5095603868	Raw	FP	INDIV227
INDIV228_ENDAMANGA_SCHOOL_1727_Dry2014	B. ailuri	9901	0.4748401927	Raw	FP	INDIV228
INDIV231_ENDAMANGA_SCHOOL_1730_Dry2014	B. ailuri	11708	0.4746722487	Raw	FP	INDIV231
INDIV271_SAIDI_1866_Dry2014	B. ailuri	15990	0.5376978327	Raw	FP	INDIV271
INDIV221_SAITOTI_1720_Dry2014	B. ailuri	20713	0.5159045701	Raw	FP	INDIV221
INDIV278_SAIDI_1847_Dry2014	B. schroederi	47313	0.4590494504	Raw	FP	INDIV278
INDIV279_SAIDI_1848_Dry2014	B. ailuri	5740	0.5089918519	Raw	FP	INDIV279
INDIV224_SAITOTI_1723_Dry2014	B. ailuri	11439	0.5107470688	Raw	FP	INDIV224
INDIV82_HUKAMAKO_1963_Dry2014	B. ailuri	4349	0.4482923849	Raw	FP	INDIV82
INDIV372_HUKAMAKO_2221_Dry2014	B. ailuri	4651	0.5390051345	Raw	FP	INDIV372
INDIV159_HUKAMAKO_2233_Dry2014	B. ailuri	24183	0.4666797714	Raw	FP	INDIV159
INDIV273_HUKAMAKO_2239_Dry2014	B. ailuri	9579	0.4642803684	Raw	FP	INDIV273
INDIV271_HUKAMAKO_2205_Dry2014	B. ailuri	4827	0.5325032466	Raw	FP	INDIV271
INDIV275_HUKAMAKO_2245_Dry2014	B. ailuri	3578	0.5743430887	Raw	FP	INDIV275
